0001,03.02.2010,17,22,36,37,52,24
0002,06.02.2010,14,22,52,54,59,04
0003,10.02.2010,05,08,29,37,38,34
0004,13.02.2010,10,14,30,40,51,01
0005,17.02.2010,07,08,19,26,36,15
0006,20.02.2010,13,27,37,41,54,32
0007,24.02.2010,04,17,35,50,57,12
0008,27.02.2010,18,47,51,53,58,30
0009,03.03.2010,07,09,14,45,49,23
0010,06.03.2010,10,29,33,41,59,15
0011,10.03.2010,17,21,37,41,50,01
0012,13.03.2010,06,16,20,31,36,08
0013,17.03.2010,24,26,45,48,55,08
0014,20.03.2010,09,36,39,44,45,09
0015,24.03.2010,14,20,24,39,49,07
0016,27.03.2010,07,21,32,44,52,10
0017,31.03.2010,05,13,17,45,54,12
0018,03.04.2010,10,15,31,52,59,04
0019,07.04.2010,04,36,40,44,52,33
0020,10.04.2010,21,22,49,52,58,34
0021,14.04.2010,06,14,32,38,52,20
0022,17.04.2010,05,21,22,41,49,15
0023,21.04.2010,11,34,41,49,55,20
0024,24.04.2010,01,12,53,56,57,05
0025,28.04.2010,12,22,25,28,44,24
0026,01.05.2010,16,23,25,49,58,20
0027,05.05.2010,13,34,40,47,57,11
0028,08.05.2010,05,22,34,41,57,31
0029,12.05.2010,37,51,52,53,58,38
0030,15.05.2010,15,21,23,28,36,20
0031,19.05.2010,02,07,29,55,58,27
0032,22.05.2010,19,20,40,47,57,29
0033,26.05.2010,01,06,10,13,20,32
0034,29.05.2010,01,03,24,28,41,10
0035,02.06.2010,04,09,14,39,43,38
0036,05.06.2010,18,34,40,48,59,25
0037,09.06.2010,14,22,27,32,49,05
0038,12.06.2010,09,12,13,35,38,30
0039,16.06.2010,08,11,18,29,36,06
0040,19.06.2010,09,30,31,50,54,39
0041,23.06.2010,11,30,45,47,48,10
0042,26.06.2010,13,30,32,38,57,25
0043,30.06.2010,06,38,43,47,48,27
0044,03.07.2010,03,10,14,52,53,03
0045,07.07.2010,10,41,44,48,56,04
0046,10.07.2010,20,21,27,28,56,04
0047,14.07.2010,20,21,23,38,42,06
0048,17.07.2010,22,27,35,37,45,03
0049,21.07.2010,16,22,30,51,58,25
0050,24.07.2010,20,30,38,46,59,27
0051,28.07.2010,01,11,20,25,27,02
0052,31.07.2010,01,16,17,41,57,15
0053,04.08.2010,19,28,30,37,53,36
0054,07.08.2010,04,22,26,31,52,30
0055,11.08.2010,07,10,22,23,52,29
0056,14.08.2010,09,33,36,50,58,31
0057,18.08.2010,04,32,33,47,55,39
0058,21.08.2010,07,10,12,22,27,26
0059,25.08.2010,16,17,29,31,36,23
0060,28.08.2010,04,22,27,32,56,13
