0001,23.03.2012,05,08,21,37,46,06,08
0002,30.03.2012,05,07,12,19,26,01,05
0003,06.04.2012,07,08,34,36,38,04,05
0004,13.04.2012,05,11,12,27,32,01,03
0005,20.04.2012,10,16,30,41,45,02,08
0006,27.04.2012,10,13,19,40,45,03,05
0007,04.05.2012,29,30,35,41,45,03,05
0008,11.05.2012,15,21,38,39,47,01,05
0009,18.05.2012,12,18,43,44,46,04,05
0010,25.05.2012,04,11,26,32,41,05,07
0011,01.06.2012,11,28,34,37,38,03,07
0012,08.06.2012,10,15,16,36,44,07,08
0013,15.06.2012,06,10,17,18,42,01,03
0014,22.06.2012,13,14,16,47,49,01,07
0015,29.06.2012,05,08,19,33,36,02,03
0016,06.07.2012,10,22,24,33,38,02,06
0017,13.07.2012,08,12,27,31,37,03,06
0018,20.07.2012,06,09,13,14,25,01,08
0019,27.07.2012,09,22,23,34,35,01,03
0020,03.08.2012,12,15,18,24,25,04,05
0021,10.08.2012,06,11,40,46,48,03,06
0022,17.08.2012,03,16,30,34,35,02,05
0023,24.08.2012,09,20,21,33,49,05,07
0024,31.08.2012,08,22,28,40,42,04,08
0025,07.09.2012,15,23,25,46,49,02,04
0026,14.09.2012,10,14,15,24,47,04,08
0027,21.09.2012,18,29,41,44,49,01,05
0028,28.09.2012,05,14,16,34,39,01,06
0029,05.10.2012,26,28,40,49,50,02,07
0030,12.10.2012,06,11,17,43,49,04,08
0031,19.10.2012,06,14,18,19,48,03,08
0032,26.10.2012,07,17,18,19,22,04,05
0033,02.11.2012,03,05,07,12,31,05,07
0034,09.11.2012,25,29,38,41,44,03,08
0035,16.11.2012,01,04,07,21,26,04,07
0036,23.11.2012,01,21,32,36,50,02,05
0037,30.11.2012,02,13,21,24,37,06,07
0038,07.12.2012,13,20,22,27,42,03,05
0039,14.12.2012,17,28,31,35,39,05,08
0040,21.12.2012,11,20,24,25,35,04,08
0041,28.12.2012,05,08,22,32,39,07,08
0042,04.01.2013,06,20,29,40,45,05,08
0043,11.01.2013,06,31,37,41,49,02,03
0044,18.01.2013,09,13,21,28,45,06,07
0045,25.01.2013,04,13,28,37,38,07,08
0046,01.02.2013,02,04,14,26,29,06,07
0047,08.02.2013,12,14,17,27,43,01,07
0048,15.02.2013,04,09,26,32,40,03,05
0049,22.02.2013,03,13,41,46,49,03,08
0050,01.03.2013,19,28,29,34,44,01,05
0051,08.03.2013,10,12,14,30,43,02,05
0052,15.03.2013,04,30,32,41,50,05,07
0053,22.03.2013,05,12,21,43,48,05,06
0054,29.03.2013,01,22,27,37,50,05,07
0055,05.04.2013,22,31,37,38,41,02,06
0056,12.04.2013,08,19,22,32,40,01,08
0057,19.04.2013,17,18,22,24,25,01,06
0058,26.04.2013,11,14,19,23,49,04,05
0059,03.05.2013,14,16,28,44,48,03,07
0060,10.05.2013,06,09,31,33,35,01,07
0061,17.05.2013,04,06,10,13,32,01,08
0062,24.05.2013,02,04,09,20,41,03,05
0063,31.05.2013,05,09,12,23,40,02,07
0064,07.06.2013,06,09,11,29,35,02,06
0065,14.06.2013,01,25,46,47,48,03,08
0066,21.06.2013,05,14,21,23,50,02,07
0067,28.06.2013,06,08,23,33,49,03,08
0068,05.07.2013,15,16,17,19,50,05,07
0069,12.07.2013,07,27,33,47,48,02,07
0070,19.07.2013,07,18,19,33,37,02,05
0071,26.07.2013,04,13,19,25,43,03,04
0072,02.08.2013,14,23,29,33,37,02,05
0073,09.08.2013,07,26,32,34,49,01,06
0074,16.08.2013,05,32,33,38,49,03,08
0075,23.08.2013,04,10,25,30,47,02,03
0076,30.08.2013,06,09,10,17,43,02,08
0077,06.09.2013,03,07,20,32,44,04,05
0078,13.09.2013,03,10,18,31,43,01,07
0079,20.09.2013,02,06,15,18,24,05,07
0080,27.09.2013,06,10,21,34,36,01,04
0081,04.10.2013,01,07,16,21,48,01,08
0082,11.10.2013,02,11,23,29,34,07,08
0083,18.10.2013,07,22,24,25,41,01,03
0084,25.10.2013,09,25,39,41,46,02,08
0085,01.11.2013,07,10,13,26,27,05,08
0086,08.11.2013,18,25,28,34,42,03,04
0087,15.11.2013,03,19,32,43,48,04,08
0088,22.11.2013,01,38,39,42,47,01,02
0089,29.11.2013,17,25,32,35,45,04,07
0090,06.12.2013,01,08,18,25,47,02,07
0091,13.12.2013,09,19,24,28,49,02,08
0092,20.12.2013,09,12,22,37,40,06,08
0093,27.12.2013,02,15,33,40,43,03,07
0094,03.01.2014,01,16,34,36,37,04,06
0095,10.01.2014,08,18,22,33,40,02,08
0096,17.01.2014,04,07,15,25,29,02,04
0097,24.01.2014,04,28,30,36,46,03,07
0098,31.01.2014,12,17,29,39,40,05,06
0099,07.02.2014,16,18,20,36,49,03,04
0100,14.02.2014,19,21,22,28,45,06,07
0101,21.02.2014,02,04,21,30,41,07,08
0102,28.02.2014,02,17,21,22,45,01,05
0103,07.03.2014,07,14,15,20,39,01,08
0104,14.03.2014,06,07,09,13,30,04,07
0105,21.03.2014,08,18,35,38,42,04,06
0106,28.03.2014,10,32,35,38,45,04,05
0107,04.04.2014,10,16,28,30,33,04,06
0108,11.04.2014,01,07,14,22,44,01,02
0109,18.04.2014,12,32,40,44,49,02,03
0110,25.04.2014,04,07,10,39,48,03,04
0111,02.05.2014,09,31,32,33,34,06,08
0112,09.05.2014,01,11,14,22,43,03,04
0113,16.05.2014,09,28,36,42,43,02,08
0114,23.05.2014,06,21,33,37,47,07,08
0115,30.05.2014,07,17,25,26,35,04,07
0116,06.06.2014,06,09,19,37,38,04,08
0117,13.06.2014,01,08,15,18,39,01,06
0118,20.06.2014,06,10,23,33,41,06,08
